i,url,fecha
0,https://es.cointelegraph.com/news/crypto-market-continues-to-swing-with-negative-sentiment,Hace 15 horas (16.07.2022 04:05)
1,https://es.cointelegraph.com/news/sec-commissioner-allison-lee-departs-readying-financial-regulator-for-jaime-lizarraga,Hace 16 horas (16.07.2022 03:05)
2,https://es.cointelegraph.com/news/us-lawmakers-ask-about-epa-doe-monitoring-of-crypto-mining-emissions-energy-consumption,Hace 17 horas (16.07.2022 02:35)
3,https://es.cointelegraph.com/news/finance-redefined-defi-market-fell-off-the-cliff-in-q2-but-there-s-hope,Hace 18 horas (16.07.2022 01:35)
4,https://es.cointelegraph.com/news/top-crypto-news-of-the-week-blockchain-summit-latam-in-panama-binance-registers-in-spain-and-bitcoin-branded-as-a-financial,Hace 20 horas (15.07.2022 23:05)
5,https://es.cointelegraph.com/news/bitcoin-is-now-in-its-longest-ever-extreme-fear-period,Hace 23 horas (15.07.2022 20:05)
6,https://es.cointelegraph.com/news/crypto-market-continues-to-swing-with-negative-sentiment,Hace 15 horas (16.07.2022 04:05)
7,https://es.cointelegraph.com/news/sec-commissioner-allison-lee-departs-readying-financial-regulator-for-jaime-lizarraga,Hace 16 horas (16.07.2022 03:05)
8,https://es.cointelegraph.com/news/us-lawmakers-ask-about-epa-doe-monitoring-of-crypto-mining-emissions-energy-consumption,Hace 17 horas (16.07.2022 02:35)
9,https://es.cointelegraph.com/news/finance-redefined-defi-market-fell-off-the-cliff-in-q2-but-there-s-hope,Hace 18 horas (16.07.2022 01:35)
10,https://es.cointelegraph.com/news/top-crypto-news-of-the-week-blockchain-summit-latam-in-panama-binance-registers-in-spain-and-bitcoin-branded-as-a-financial,Hace 20 horas (15.07.2022 23:05)
11,https://es.cointelegraph.com/news/bitcoin-is-now-in-its-longest-ever-extreme-fear-period,Hace 23 horas (15.07.2022 20:05)
12,https://es.cointelegraph.com/news/bitcoin-is-now-in-its-longest-ever-extreme-fear-period,Hace 23 horas (15.07.2022 20:05)
13,https://es.cointelegraph.com/news/germany-and-the-us-share-the-top-spot-in-the-global-crypto-rankings-report,15.07.2022 17:35
14,https://es.cointelegraph.com/news/ecb-report-likens-pow-to-fossil-fuel-cars-pos-to-electric-vehicles,15.07.2022 17:05
15,https://es.cointelegraph.com/news/two-bitcoin-price-prediction-polls-same-outcome-10k-btc-is-coming,15.07.2022 14:35
16,https://es.cointelegraph.com/news/bitcoin-whales-still-hibernating-as-btc-price-nears-21k,15.07.2022 14:35
17,https://es.cointelegraph.com/news/btc-mining-costs-reach-10-month-lows-as-miners-use-more-efficient-rigs,15.07.2022 13:05
18,https://es.cointelegraph.com/news/is-it-possible-to-create-a-universal-currency-without-the-government,15.07.2022 04:05
19,https://es.cointelegraph.com/news/cleanspark-scoops-up-1k-mining-rigs-at-substantially-discounted-price,15.07.2022 03:05
20,https://es.cointelegraph.com/news/cftc-labels-34-crypto-and-forex-firms-as-unregistered-foreign-entities,15.07.2022 01:35
